timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/16 14:32:09.840, GeForce GTX TITAN X, 0, 2, GPU-f3ce48d2-77bf-913f-1a7f-c617d7985a7c, 00000000:01:00.0, 65, 0 %, 0 %, 12212 MiB, 11525 MiB, 687 MiB
2021/09/16 14:32:09.840, GeForce GTX TITAN X, 1, 2, GPU-3bed5300-0485-fb8b-5368-9e650495f0d0, 00000000:02:00.0, 62, 0 %, 0 %, 12211 MiB, 12208 MiB, 3 MiB
2021/09/16 14:32:10.841, GeForce GTX TITAN X, 0, 2, GPU-f3ce48d2-77bf-913f-1a7f-c617d7985a7c, 00000000:01:00.0, 69, 92 %, 47 %, 12212 MiB, 8056 MiB, 4156 MiB
2021/09/16 14:32:10.841, GeForce GTX TITAN X, 1, 2, GPU-3bed5300-0485-fb8b-5368-9e650495f0d0, 00000000:02:00.0, 62, 0 %, 0 %, 12211 MiB, 12208 MiB, 3 MiB
2021/09/16 14:32:11.841, GeForce GTX TITAN X, 0, 2, GPU-f3ce48d2-77bf-913f-1a7f-c617d7985a7c, 00000000:01:00.0, 70, 92 %, 47 %, 12212 MiB, 8056 MiB, 4156 MiB
2021/09/16 14:32:11.842, GeForce GTX TITAN X, 1, 2, GPU-3bed5300-0485-fb8b-5368-9e650495f0d0, 00000000:02:00.0, 62, 0 %, 0 %, 12211 MiB, 12208 MiB, 3 MiB
2021/09/16 14:32:12.842, GeForce GTX TITAN X, 0, 2, GPU-f3ce48d2-77bf-913f-1a7f-c617d7985a7c, 00000000:01:00.0, 71, 72 %, 37 %, 12212 MiB, 8056 MiB, 4156 MiB
2021/09/16 14:32:12.842, GeForce GTX TITAN X, 1, 2, GPU-3bed5300-0485-fb8b-5368-9e650495f0d0, 00000000:02:00.0, 62, 0 %, 0 %, 12211 MiB, 12208 MiB, 3 MiB
2021/09/16 14:32:13.842, GeForce GTX TITAN X, 0, 2, GPU-f3ce48d2-77bf-913f-1a7f-c617d7985a7c, 00000000:01:00.0, 72, 92 %, 46 %, 12212 MiB, 8056 MiB, 4156 MiB
2021/09/16 14:32:13.842, GeForce GTX TITAN X, 1, 2, GPU-3bed5300-0485-fb8b-5368-9e650495f0d0, 00000000:02:00.0, 62, 0 %, 0 %, 12211 MiB, 12208 MiB, 3 MiB
2021/09/16 14:32:14.843, GeForce GTX TITAN X, 0, 2, GPU-f3ce48d2-77bf-913f-1a7f-c617d7985a7c, 00000000:01:00.0, 71, 85 %, 42 %, 12212 MiB, 8056 MiB, 4156 MiB
2021/09/16 14:32:14.843, GeForce GTX TITAN X, 1, 2, GPU-3bed5300-0485-fb8b-5368-9e650495f0d0, 00000000:02:00.0, 62, 0 %, 0 %, 12211 MiB, 12208 MiB, 3 MiB
2021/09/16 14:32:15.843, GeForce GTX TITAN X, 0, 2, GPU-f3ce48d2-77bf-913f-1a7f-c617d7985a7c, 00000000:01:00.0, 73, 91 %, 46 %, 12212 MiB, 8056 MiB, 4156 MiB
