timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/20 19:28:38.446, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 38, 0 %, 0 %, 40536 MiB, 38994 MiB, 1542 MiB
2021/09/20 19:28:39.447, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 39, 15 %, 3 %, 40536 MiB, 37502 MiB, 3034 MiB
2021/09/20 19:28:40.448, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 41, 47 %, 14 %, 40536 MiB, 37502 MiB, 3034 MiB
2021/09/20 19:28:41.450, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 41, 44 %, 12 %, 40536 MiB, 37502 MiB, 3034 MiB
2021/09/20 19:28:42.451, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 42, 46 %, 13 %, 40536 MiB, 37502 MiB, 3034 MiB
2021/09/20 19:28:43.452, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 42, 44 %, 12 %, 40536 MiB, 37502 MiB, 3034 MiB
2021/09/20 19:28:44.453, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 42, 50 %, 15 %, 40536 MiB, 37502 MiB, 3034 MiB
2021/09/20 19:28:45.454, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 42, 42 %, 12 %, 40536 MiB, 37502 MiB, 3034 MiB
2021/09/20 19:28:46.455, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 42, 45 %, 13 %, 40536 MiB, 37502 MiB, 3034 MiB
2021/09/20 19:28:47.456, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 42, 46 %, 13 %, 40536 MiB, 37502 MiB, 3034 MiB
