timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/10/20 22:25:56.445, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 46, 5 %, 0 %, 16280 MiB, 15379 MiB, 901 MiB
2021/10/20 22:25:57.447, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 49, 98 %, 37 %, 16280 MiB, 12411 MiB, 3869 MiB
2021/10/20 22:25:58.447, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 99 %, 37 %, 16280 MiB, 12411 MiB, 3869 MiB
2021/10/20 22:25:59.448, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 36 %, 16280 MiB, 12411 MiB, 3869 MiB
2021/10/20 22:26:00.449, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 37 %, 16280 MiB, 12411 MiB, 3869 MiB
2021/10/20 22:26:01.450, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12411 MiB, 3869 MiB
2021/10/20 22:26:02.450, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 99 %, 38 %, 16280 MiB, 12411 MiB, 3869 MiB
2021/10/20 22:26:03.451, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 99 %, 39 %, 16280 MiB, 12411 MiB, 3869 MiB
2021/10/20 22:26:04.452, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 99 %, 39 %, 16280 MiB, 12411 MiB, 3869 MiB
2021/10/20 22:26:05.453, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 38 %, 16280 MiB, 12411 MiB, 3869 MiB
