timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/10/20 21:41:58.049, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 47, 5 %, 0 %, 16280 MiB, 15371 MiB, 909 MiB
2021/10/20 21:41:59.051, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 50, 98 %, 41 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:00.052, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:01.052, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:02.053, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:03.054, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 91 %, 37 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:04.055, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:05.056, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:06.056, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:07.057, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:08.058, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 97 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:09.059, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:10.060, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 97 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:11.061, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:12.062, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:13.062, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 97 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:14.063, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:15.064, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 41 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:16.065, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 42 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:17.065, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:18.066, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 89 %, 38 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:19.067, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:20.068, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 97 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:21.100, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:22.101, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 41 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:23.102, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:24.103, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:25.104, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 41 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:26.104, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 97 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:27.105, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:28.106, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:29.107, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:30.108, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:31.109, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 41 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:32.109, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:33.110, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 90 %, 38 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:34.111, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 41 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:35.112, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:36.135, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:37.136, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 97 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:38.137, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 41 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:39.138, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 97 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:40.139, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 97 %, 40 %, 16280 MiB, 11329 MiB, 4951 MiB
2021/10/20 21:42:41.140, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 92 %, 36 %, 16280 MiB, 11077 MiB, 5203 MiB
2021/10/20 21:42:42.140, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 92 %, 36 %, 16280 MiB, 10827 MiB, 5453 MiB
2021/10/20 21:42:43.141, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 93 %, 37 %, 16280 MiB, 10827 MiB, 5453 MiB
2021/10/20 21:42:44.142, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 93 %, 37 %, 16280 MiB, 10827 MiB, 5453 MiB
