timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/21 21:18:16.465, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 41, 5 %, 0 %, 40536 MiB, 39022 MiB, 1514 MiB
2021/09/21 21:18:17.468, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 40, 4 %, 0 %, 40536 MiB, 38792 MiB, 1744 MiB
2021/09/21 21:18:18.469, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 47, 83 %, 52 %, 40536 MiB, 35728 MiB, 4808 MiB
2021/09/21 21:18:19.471, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 48, 80 %, 49 %, 40536 MiB, 35728 MiB, 4808 MiB
2021/09/21 21:18:20.472, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 86 %, 54 %, 40536 MiB, 35728 MiB, 4808 MiB
2021/09/21 21:18:21.473, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 85 %, 54 %, 40536 MiB, 35728 MiB, 4808 MiB
2021/09/21 21:18:22.480, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 87 %, 55 %, 40536 MiB, 35728 MiB, 4808 MiB
2021/09/21 21:18:23.481, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 88 %, 55 %, 40536 MiB, 35728 MiB, 4808 MiB
2021/09/21 21:18:24.482, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 86 %, 55 %, 40536 MiB, 35728 MiB, 4808 MiB
2021/09/21 21:18:25.483, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 84 %, 52 %, 40536 MiB, 35728 MiB, 4808 MiB
