timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/21 21:20:37.935, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 39, 0 %, 0 %, 40536 MiB, 39006 MiB, 1530 MiB
2021/09/21 21:20:38.936, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 39, 1 %, 0 %, 40536 MiB, 38582 MiB, 1954 MiB
2021/09/21 21:20:39.938, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 48, 87 %, 68 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:40.939, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 85 %, 65 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:41.940, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 85 %, 70 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:42.941, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 87 %, 69 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:43.947, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 87 %, 67 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:44.949, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 85 %, 69 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:46.171, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 89 %, 71 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:47.172, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 87 %, 70 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:48.173, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 52, 86 %, 69 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:49.174, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 52, 89 %, 71 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:50.175, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 52, 85 %, 68 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:51.176, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 52, 85 %, 67 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:52.177, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 52, 81 %, 61 %, 40536 MiB, 27992 MiB, 12544 MiB
2021/09/21 21:20:53.447, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 53, 86 %, 70 %, 40536 MiB, 27992 MiB, 12544 MiB
