timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/10/20 21:53:17.618, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 47, 6 %, 0 %, 16280 MiB, 15375 MiB, 905 MiB
2021/10/20 21:53:18.619, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 50, 99 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:19.620, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 99 %, 37 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:20.620, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:21.621, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:22.622, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:23.623, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 39 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:24.662, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:25.663, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:26.664, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:27.665, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 42 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:28.666, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:29.666, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:30.667, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 37 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:31.668, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 36 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:32.669, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 39 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:33.670, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 43 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:34.671, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:35.672, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 39 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:36.673, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 100 %, 37 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:37.673, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 35 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:38.674, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:39.675, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 43 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:40.676, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:41.677, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 39 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:42.678, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:43.678, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 34 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:44.679, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 39 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:45.680, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 43 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:46.681, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 98 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:47.682, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 40 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:48.683, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:49.684, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 34 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:50.684, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 39 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:51.685, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 97 %, 40 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:52.686, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 98 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:53.687, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:54.688, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 37 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:55.689, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 35 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:56.690, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 37 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:57.690, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 98 %, 39 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:58.691, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 98 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:53:59.692, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:54:00.693, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 37 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:54:01.694, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 36 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:54:02.694, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 37 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:54:03.695, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 98 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:54:04.696, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 98 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:54:05.697, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 41 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:54:06.699, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 39 %, 16280 MiB, 8535 MiB, 7745 MiB
2021/10/20 21:54:07.700, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 55, 99 %, 38 %, 16280 MiB, 8535 MiB, 7745 MiB
