timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/21 21:23:20.229, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 0 %, 0 %, 40536 MiB, 38976 MiB, 1560 MiB
2021/09/21 21:23:21.230, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 51, 52 %, 32 %, 40536 MiB, 32696 MiB, 7840 MiB
2021/09/21 21:23:22.231, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 97 %, 71 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:23.232, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 97 %, 72 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:24.234, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 97 %, 70 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:25.235, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 97 %, 71 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:26.236, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 97 %, 71 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:27.237, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 97 %, 71 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:28.462, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 97 %, 70 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:29.463, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 97 %, 70 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:30.464, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 97 %, 72 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:31.470, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 97 %, 70 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:32.471, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 97 %, 70 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:33.472, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 97 %, 72 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:34.473, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 74 %, 55 %, 40536 MiB, 32694 MiB, 7842 MiB
2021/09/21 21:23:35.708, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 58, 87 %, 67 %, 40536 MiB, 30554 MiB, 9982 MiB
2021/09/21 21:23:36.710, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 59, 87 %, 68 %, 40536 MiB, 30554 MiB, 9982 MiB
2021/09/21 21:23:37.711, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 59, 88 %, 68 %, 40536 MiB, 30554 MiB, 9982 MiB
2021/09/21 21:23:38.712, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 97 %, 70 %, 40536 MiB, 30554 MiB, 9982 MiB
2021/09/21 21:23:39.713, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 97 %, 70 %, 40536 MiB, 30554 MiB, 9982 MiB
2021/09/21 21:23:40.713, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 97 %, 71 %, 40536 MiB, 30554 MiB, 9982 MiB
2021/09/21 21:23:41.714, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 58, 95 %, 70 %, 40536 MiB, 30554 MiB, 9982 MiB
