timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/21 21:25:59.506, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 42, 3 %, 0 %, 40536 MiB, 38984 MiB, 1552 MiB
2021/09/21 21:26:00.507, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 42, 4 %, 0 %, 40536 MiB, 38756 MiB, 1780 MiB
2021/09/21 21:26:01.508, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 52, 97 %, 67 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:02.508, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 54, 97 %, 66 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:03.673, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 55, 97 %, 65 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:04.674, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 56, 97 %, 64 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:05.675, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 56, 97 %, 64 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:06.677, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 56, 97 %, 66 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:07.678, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 56, 97 %, 66 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:08.679, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 56, 97 %, 65 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:09.681, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 57, 97 %, 65 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:10.932, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 57, 97 %, 65 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:11.933, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 57, 97 %, 66 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:12.936, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 57, 97 %, 66 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:13.937, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 98 %, 66 %, 40536 MiB, 34574 MiB, 5962 MiB
2021/09/21 21:26:14.938, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 56, 55 %, 37 %, 40536 MiB, 32092 MiB, 8444 MiB
2021/09/21 21:26:15.939, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 90 %, 69 %, 40536 MiB, 32092 MiB, 8444 MiB
2021/09/21 21:26:16.940, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 89 %, 68 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:17.942, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 60, 90 %, 68 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:18.943, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 97 %, 66 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:19.944, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 97 %, 66 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:20.945, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 97 %, 65 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:21.946, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 97 %, 66 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:23.126, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 97 %, 65 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:24.127, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 97 %, 64 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:25.128, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 97 %, 64 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:26.130, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 97 %, 65 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:27.131, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 97 %, 65 %, 40536 MiB, 31940 MiB, 8596 MiB
2021/09/21 21:26:28.132, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 97 %, 64 %, 40536 MiB, 31940 MiB, 8596 MiB
