timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/10/21 20:05:56.438, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 47, 8 %, 0 %, 16280 MiB, 15317 MiB, 963 MiB
2021/10/21 20:05:57.440, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 99 %, 36 %, 16280 MiB, 10577 MiB, 5703 MiB
2021/10/21 20:05:58.441, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 99 %, 35 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:05:59.441, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 99 %, 36 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:00.442, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 100 %, 33 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:01.443, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 32 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:02.443, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 33 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:03.444, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 31 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:04.445, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 31 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:05.445, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 32 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:06.446, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 32 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:07.447, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 34 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:08.447, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 35 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:09.448, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 35 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:10.449, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 35 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:11.450, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 36 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:12.450, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 35 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:13.451, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 36 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:14.452, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 100 %, 33 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:15.453, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 99 %, 33 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:16.453, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 32 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:17.454, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 32 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:18.455, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 31 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:19.455, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 99 %, 32 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:20.456, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 33 %, 16280 MiB, 10575 MiB, 5705 MiB
2021/10/21 20:06:21.457, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 54, 98 %, 35 %, 16280 MiB, 10575 MiB, 5705 MiB
