timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/10/21 20:18:21.166, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 44, 4 %, 0 %, 16280 MiB, 15379 MiB, 901 MiB
2021/10/21 20:18:22.167, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 48, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:23.168, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 49, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:24.168, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 50, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:25.169, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 50, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:26.170, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 50, 98 %, 38 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:27.170, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 50, 98 %, 38 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:28.171, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 50, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:29.172, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 50, 98 %, 38 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:30.172, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:31.173, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:32.174, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:33.175, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:34.176, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:35.176, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 97 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:36.177, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:37.178, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:38.178, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:39.179, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:40.180, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:41.180, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:42.181, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 96 %, 35 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:43.182, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 90 %, 25 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:44.182, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 91 %, 26 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:45.183, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 91 %, 26 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:46.184, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 51, 98 %, 38 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:47.184, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:48.185, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 38 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:49.186, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:50.186, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:51.187, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:52.188, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:53.188, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:54.189, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:55.190, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:56.190, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:57.191, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 38 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:58.192, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 52, 98 %, 38 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:18:59.192, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 37 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:19:00.193, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 97 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:19:01.194, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:19:02.194, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
2021/10/21 20:19:03.195, Tesla P100-PCIE-16GB, 0, 2, GPU-977d60e5-481f-eea5-a2ed-980708a5e9c3, 00000001:00:00.0, 53, 98 %, 36 %, 16280 MiB, 12499 MiB, 3781 MiB
