timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/22 16:02:07.994, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 42, 6 %, 0 %, 40536 MiB, 39010 MiB, 1526 MiB
2021/09/22 16:02:08.997, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 41, 3 %, 0 %, 40536 MiB, 38682 MiB, 1854 MiB
2021/09/22 16:02:09.998, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 47, 66 %, 24 %, 40536 MiB, 37686 MiB, 2850 MiB
2021/09/22 16:02:10.999, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 66 %, 24 %, 40536 MiB, 37686 MiB, 2850 MiB
2021/09/22 16:02:12.000, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 66 %, 24 %, 40536 MiB, 37686 MiB, 2850 MiB
2021/09/22 16:02:13.001, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 65 %, 23 %, 40536 MiB, 37686 MiB, 2850 MiB
2021/09/22 16:02:14.002, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 60 %, 22 %, 40536 MiB, 37686 MiB, 2850 MiB
2021/09/22 16:02:15.187, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 61 %, 22 %, 40536 MiB, 37686 MiB, 2850 MiB
2021/09/22 16:02:16.188, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 52 %, 21 %, 40536 MiB, 37110 MiB, 3426 MiB
2021/09/22 16:02:17.189, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 52 %, 21 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:18.190, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 61 %, 22 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:19.191, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 61 %, 22 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:20.192, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 65 %, 24 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:21.193, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 63 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:22.440, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 65 %, 24 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:23.441, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 63 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:24.442, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 53 %, 22 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:25.443, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 63 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:26.444, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 65 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:27.445, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 63 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:28.446, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 64 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:29.658, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 65 %, 24 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:30.659, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 66 %, 24 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:31.660, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 54 %, 22 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:32.661, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 50 %, 20 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:33.662, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 59 %, 21 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:34.663, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 61 %, 22 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:35.664, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 61 %, 22 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:36.871, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 64 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:37.873, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 64 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:38.874, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 64 %, 23 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:39.875, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 51 %, 21 %, 40536 MiB, 36884 MiB, 3652 MiB
2021/09/22 16:02:40.876, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 51 %, 21 %, 40536 MiB, 36878 MiB, 3658 MiB
