timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/22 16:14:02.482, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 8 %, 0 %, 40536 MiB, 38960 MiB, 1576 MiB
2021/09/22 16:14:03.486, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 0 %, 0 %, 40536 MiB, 38738 MiB, 1798 MiB
2021/09/22 16:14:04.487, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 95 %, 60 %, 40536 MiB, 33528 MiB, 7008 MiB
2021/09/22 16:14:05.488, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 62, 96 %, 60 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:06.489, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 63, 95 %, 60 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:07.490, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 63, 95 %, 60 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:08.491, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 60 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:09.492, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 60 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:10.493, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 93 %, 58 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:11.646, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 95 %, 59 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:12.647, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 95 %, 60 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:13.649, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 95 %, 60 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:14.650, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 59 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:15.651, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 94 %, 58 %, 40536 MiB, 33526 MiB, 7010 MiB
2021/09/22 16:14:16.652, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 60 %, 40536 MiB, 33526 MiB, 7010 MiB
