timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/22 16:09:07.095, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 40, 3 %, 0 %, 40536 MiB, 39022 MiB, 1514 MiB
2021/09/22 16:09:08.096, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 40, 0 %, 0 %, 40536 MiB, 38792 MiB, 1744 MiB
2021/09/22 16:09:09.143, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 43, 53 %, 16 %, 40536 MiB, 37722 MiB, 2814 MiB
2021/09/22 16:09:10.144, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 44, 54 %, 16 %, 40536 MiB, 37722 MiB, 2814 MiB
2021/09/22 16:09:11.144, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 44, 54 %, 16 %, 40536 MiB, 37722 MiB, 2814 MiB
2021/09/22 16:09:12.145, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 44, 55 %, 16 %, 40536 MiB, 37722 MiB, 2814 MiB
2021/09/22 16:09:13.147, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 53 %, 15 %, 40536 MiB, 37722 MiB, 2814 MiB
2021/09/22 16:09:14.148, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 53 %, 15 %, 40536 MiB, 37722 MiB, 2814 MiB
2021/09/22 16:09:15.149, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 51 %, 15 %, 40536 MiB, 37722 MiB, 2814 MiB
2021/09/22 16:09:16.439, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 53 %, 16 %, 40536 MiB, 37722 MiB, 2814 MiB
2021/09/22 16:09:17.440, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 48 %, 17 %, 40536 MiB, 37270 MiB, 3266 MiB
2021/09/22 16:09:18.441, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 46, 48 %, 17 %, 40536 MiB, 37270 MiB, 3266 MiB
2021/09/22 16:09:19.442, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 54 %, 16 %, 40536 MiB, 37270 MiB, 3266 MiB
2021/09/22 16:09:20.443, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 53 %, 16 %, 40536 MiB, 37270 MiB, 3266 MiB
2021/09/22 16:09:21.444, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 49 %, 15 %, 40536 MiB, 37270 MiB, 3266 MiB
