timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/23 17:26:53.839, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 39, 0 %, 0 %, 40536 MiB, 38988 MiB, 1548 MiB
2021/09/23 17:26:54.841, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 39, 5 %, 0 %, 40536 MiB, 38766 MiB, 1770 MiB
2021/09/23 17:26:55.842, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 48, 93 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:26:56.843, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 51, 88 %, 55 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:26:57.969, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 53, 93 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:26:58.970, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 53, 94 %, 60 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:26:59.971, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 54, 93 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:00.972, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 54, 94 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:01.973, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 55, 88 %, 56 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:02.974, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 55, 94 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:03.976, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 56, 93 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:05.188, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 57, 94 %, 60 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:06.189, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 57, 94 %, 60 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:07.190, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 57, 93 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:08.191, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 57, 94 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:09.192, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 90 %, 58 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:10.193, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 93 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:11.194, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 93 %, 60 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:12.414, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 93 %, 60 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:13.415, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 59, 94 %, 60 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:14.417, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 60, 93 %, 59 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:15.418, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 60, 94 %, 60 %, 40536 MiB, 35476 MiB, 5060 MiB
2021/09/23 17:27:16.419, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 60, 94 %, 60 %, 40536 MiB, 35476 MiB, 5060 MiB
