timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/23 18:12:49.738, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 0 %, 0 %, 40536 MiB, 39006 MiB, 1530 MiB
2021/09/23 18:12:50.739, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 50, 3 %, 0 %, 40536 MiB, 38568 MiB, 1968 MiB
2021/09/23 18:12:51.740, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 60, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:12:52.741, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 62, 96 %, 62 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:12:53.742, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 63, 96 %, 64 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:12:54.743, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 63, 96 %, 62 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:12:55.744, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 63, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:12:56.745, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:12:58.031, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 62 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:12:59.032, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 64 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:00.033, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 62 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:01.035, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:02.037, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 97 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:03.037, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:04.039, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 64 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:05.247, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 62 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:06.248, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:07.249, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:08.250, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 62 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:09.251, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:10.252, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
2021/09/23 18:13:11.253, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 63 %, 40536 MiB, 34462 MiB, 6074 MiB
