timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/23 20:50:28.846, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 38, 0 %, 0 %, 40536 MiB, 38966 MiB, 1570 MiB
2021/09/23 20:50:29.847, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 38, 4 %, 0 %, 40536 MiB, 38750 MiB, 1786 MiB
2021/09/23 20:50:30.848, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 44, 70 %, 35 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:31.849, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 44, 84 %, 35 %, 40536 MiB, 35355 MiB, 5181 MiB
2021/09/23 20:50:32.851, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 85 %, 38 %, 40536 MiB, 35135 MiB, 5401 MiB
2021/09/23 20:50:33.852, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 45, 81 %, 39 %, 40536 MiB, 34939 MiB, 5597 MiB
2021/09/23 20:50:34.853, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 46, 77 %, 38 %, 40536 MiB, 34693 MiB, 5843 MiB
2021/09/23 20:50:36.001, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 46, 83 %, 36 %, 40536 MiB, 34471 MiB, 6065 MiB
2021/09/23 20:50:37.002, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 47, 76 %, 38 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:38.032, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 47, 65 %, 32 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:39.033, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 47, 79 %, 41 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:40.248, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 47, 75 %, 38 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:41.249, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 48, 71 %, 35 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:42.251, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 48, 77 %, 39 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:43.252, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 47, 75 %, 37 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:44.488, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 48, 74 %, 38 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:45.490, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 48, 76 %, 38 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:46.491, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 75 %, 37 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:47.492, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 75 %, 38 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:48.730, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 74 %, 37 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:49.731, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 78 %, 39 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:50.732, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 73 %, 36 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:51.733, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 48, 72 %, 36 %, 40536 MiB, 36040 MiB, 4496 MiB
2021/09/23 20:50:52.983, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 48, 79 %, 40 %, 40536 MiB, 36040 MiB, 4496 MiB
