timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/23 20:55:14.463, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 0 %, 0 %, 40536 MiB, 38940 MiB, 1596 MiB
2021/09/23 20:55:15.465, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 49, 0 %, 0 %, 40536 MiB, 38706 MiB, 1830 MiB
2021/09/23 20:55:16.489, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 58, 97 %, 65 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:17.490, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 60, 96 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:18.492, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 62, 97 %, 67 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:19.492, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 62, 95 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:20.789, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 63, 97 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:21.790, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 63, 96 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:22.791, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:23.792, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 96 %, 67 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:25.043, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 64, 97 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:26.044, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 67 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:27.045, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:28.046, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 95 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:29.359, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 97 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:30.360, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:31.361, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 94 %, 65 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:32.364, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 65, 96 %, 67 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:33.607, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 66, 97 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
2021/09/23 20:55:34.609, NVIDIA A100-SXM4-40GB, 1, 2, GPU-78763185-757a-a226-2bfa-0c2649a82124, 00000000:00:05.0, 66, 97 %, 66 %, 40536 MiB, 30134 MiB, 10402 MiB
