timestamp, name, index, count, uuid, pci.bus_id, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/23 21:23:31.222, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 41, 0 %, 0 %, 40536 MiB, 38968 MiB, 1568 MiB
2021/09/23 21:23:32.225, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 41, 3 %, 0 %, 40536 MiB, 38758 MiB, 1778 MiB
2021/09/23 21:23:33.226, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:34.341, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 49, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:35.342, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 50, 82 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:36.343, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 50, 83 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:37.344, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 51, 79 %, 45 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:38.614, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 50, 83 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:39.615, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 50, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:40.616, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 51, 82 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:41.616, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 81 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:42.920, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:43.921, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 86 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:44.922, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 83 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:45.923, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:47.172, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 80 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:48.173, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 83 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:49.174, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 83 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:50.175, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 82 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:51.466, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:52.467, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 52, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:53.468, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:54.469, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 79 %, 45 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:55.729, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 81 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:56.730, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:57.731, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:58.733, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:23:59.976, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 83 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:00.978, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:01.979, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 83 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:02.980, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 83 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:04.228, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 78 %, 45 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:05.229, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 53, 82 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:06.230, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 83 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:07.231, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:08.511, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:09.512, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 83 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:10.513, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:11.515, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 82 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:12.759, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:13.760, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:14.761, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 83 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:15.762, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:17.006, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:18.007, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:19.008, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 79 %, 45 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:20.009, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 81 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:21.269, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:22.270, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:23.271, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 85 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:24.272, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 84 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:25.514, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:26.515, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 84 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:27.516, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 80 %, 45 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:28.517, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 80 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:29.790, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 79 %, 45 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:30.791, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 83 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:31.792, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 82 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:32.793, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 85 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:34.134, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:35.135, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 85 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:36.136, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 80 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:37.137, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 85 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:38.421, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 54, 80 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:39.423, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 81 %, 46 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:40.425, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 82 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:41.427, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 83 %, 47 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:42.710, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 86 %, 49 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:43.712, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 84 %, 48 %, 40536 MiB, 34300 MiB, 6236 MiB
2021/09/23 21:24:44.714, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 80 %, 46 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:45.716, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 83 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:46.966, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 83 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:47.967, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 83 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:48.970, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 83 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:49.971, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 83 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:51.228, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 82 %, 48 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:52.230, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 83 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:53.232, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 84 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:54.234, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 82 %, 48 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:55.533, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 58, 83 %, 48 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:56.534, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 57, 81 %, 48 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:57.536, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 73 %, 42 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:58.538, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 81 %, 46 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:24:59.788, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 83 %, 47 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:25:00.789, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 84 %, 47 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:25:01.790, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 84 %, 48 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:25:02.791, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 83 %, 47 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:25:04.048, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 84 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:25:05.050, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 55, 84 %, 48 %, 40536 MiB, 29796 MiB, 10740 MiB
2021/09/23 21:25:06.051, NVIDIA A100-SXM4-40GB, 0, 2, GPU-e4cb5f36-5401-8685-7e59-00727a7ab463, 00000000:00:04.0, 56, 85 %, 49 %, 40536 MiB, 29796 MiB, 10740 MiB
